article_id,dataset,journal_abbrev,journal_slug,volume,issue,first_page,article_number,doi,title,authors,doc_type,pdf_page_count,firstpage_route,firstpage_url,canonical_route,canonical_url,doi_route,doi_url,pdf_asset,pdf_asset_url,source_pdf_path,source_pdf_url,source_article_view_url,pdf_bytes,source_sha256,copied_sha256
8886,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,1,10.29173/alr2853,Preface: Vavilov at 5: Looking Ahead while Looking Back,Paul Daly; Gerard J Kennedy; Mark Mancini,Articles,4,/alta-l-rev/vol/63/iss/1/firstpage/1/art/1/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/1/,/alta-l-rev/vol/63/iss/1/art/1/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/1/,/doi/10.29173/alr2853/,https://olj-db.github.io/pdf/doi/10.29173/alr2853/,/alta-l-rev/vol/63/iss/1/art/1/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/1/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Preface Vavilov at 5 Looking Ahead while Looking Back__3226.pdf,https://albertalawreview.com/index.php/ALR/article/download/2853/2799/3226,https://albertalawreview.com/index.php/ALR/article/view/2853,239037,ce0eb44c6da13a47fd5efea123495e9c80026ddcbd816bfaee81440b277c2d7c,ce0eb44c6da13a47fd5efea123495e9c80026ddcbd816bfaee81440b277c2d7c
8889,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,2,10.29173/alr2840,Selecting a Standard of Review: What Does This Entail Post-Vavilov?,Mary Liston,Articles,23,/alta-l-rev/vol/63/iss/1/firstpage/1/art/2/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/2/,/alta-l-rev/vol/63/iss/1/art/2/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/2/,/doi/10.29173/alr2840/,https://olj-db.github.io/pdf/doi/10.29173/alr2840/,/alta-l-rev/vol/63/iss/1/art/2/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/2/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Selecting a Standard of Review What Does This Entail Post-Vavilov__3204.pdf,https://albertalawreview.com/index.php/ALR/article/download/2840/2787/3204,https://albertalawreview.com/index.php/ALR/article/view/2840,726282,aa6d008d53b2970b5f92f5db869600519e4163d6f384d1e2d0913f5b888b2828,aa6d008d53b2970b5f92f5db869600519e4163d6f384d1e2d0913f5b888b2828
8893,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,3,10.29173/alr2841,Simplification or Semantics? Evaluating Vavilov's Impact on Standard of Review,Paul A Warchuk,Articles,25,/alta-l-rev/vol/63/iss/1/firstpage/1/art/3/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/3/,/alta-l-rev/vol/63/iss/1/art/3/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/3/,/doi/10.29173/alr2841/,https://olj-db.github.io/pdf/doi/10.29173/alr2841/,/alta-l-rev/vol/63/iss/1/art/3/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/3/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Simplification or Semantics Evaluating Vavilov's Impact on Standard of Review__3206.pdf,https://albertalawreview.com/index.php/ALR/article/download/2841/2788/3206,https://albertalawreview.com/index.php/ALR/article/view/2841,736338,2e14fd9b0231a41872b26ef319cdcfdce23b3b31dff26c6b408ff851c3d8cabb,2e14fd9b0231a41872b26ef319cdcfdce23b3b31dff26c6b408ff851c3d8cabb
8896,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,4,10.29173/alr2842,Selecting Standards of Review on Statutory Appeals: A Major Change from Vavilov Garnering Minimal Attention but Having Significant Theoretical and Practical Implications,Lauren Wihak,Articles,16,/alta-l-rev/vol/63/iss/1/firstpage/1/art/4/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/4/,/alta-l-rev/vol/63/iss/1/art/4/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/4/,/doi/10.29173/alr2842/,https://olj-db.github.io/pdf/doi/10.29173/alr2842/,/alta-l-rev/vol/63/iss/1/art/4/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/4/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Selecting Standards of Review on Statutory Appeals A Major Change from Vavilov Garnering Minimal Attention but Having Si__3208.pdf,https://albertalawreview.com/index.php/ALR/article/download/2842/2789/3208,https://albertalawreview.com/index.php/ALR/article/view/2842,489187,ba1959dcb3247111c42c722db4b802d3bbb27b7da8ff22e78a70c23a9be1c046,ba1959dcb3247111c42c722db4b802d3bbb27b7da8ff22e78a70c23a9be1c046
8898,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,5,10.29173/alr2843,The Scope and Meaning of Reasonableness Review After Vavilov,Paul Daly,Articles,25,/alta-l-rev/vol/63/iss/1/firstpage/1/art/5/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/5/,/alta-l-rev/vol/63/iss/1/art/5/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/5/,/doi/10.29173/alr2843/,https://olj-db.github.io/pdf/doi/10.29173/alr2843/,/alta-l-rev/vol/63/iss/1/art/5/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/5/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\The Scope and Meaning of Reasonableness Review After Vavilov__3210.pdf,https://albertalawreview.com/index.php/ALR/article/download/2843/2790/3210,https://albertalawreview.com/index.php/ALR/article/view/2843,627001,fa6331bd8efce24efbd7488d855fa0e0a9747df8af356e985e9fec4b3f93852b,fa6331bd8efce24efbd7488d855fa0e0a9747df8af356e985e9fec4b3f93852b
8899,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,6,10.29173/alr2845,Reasonableness Review and the Interdependence of Process and Substance after Vavilov,Kevin Bouchard; Monica Popescu,Articles,17,/alta-l-rev/vol/63/iss/1/firstpage/1/art/6/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/6/,/alta-l-rev/vol/63/iss/1/art/6/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/6/,/doi/10.29173/alr2845/,https://olj-db.github.io/pdf/doi/10.29173/alr2845/,/alta-l-rev/vol/63/iss/1/art/6/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/6/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Reasonableness Review and the Interdependence of Process and Substance after Vavilov__3211.pdf,https://albertalawreview.com/index.php/ALR/article/download/2845/2791/3211,https://albertalawreview.com/index.php/ALR/article/view/2845,564174,5935058e015480dc5013899dd3075a8eecf8f2b7288ad49bf98ad0c3d4e4b27b,5935058e015480dc5013899dd3075a8eecf8f2b7288ad49bf98ad0c3d4e4b27b
8900,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,7,10.29173/alr2847,Five Years Later: Did Vavilov Kill Deference? Findings from the Ontario Divisional Court,David Said; Greg Flynn,Articles,20,/alta-l-rev/vol/63/iss/1/firstpage/1/art/7/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/7/,/alta-l-rev/vol/63/iss/1/art/7/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/7/,/doi/10.29173/alr2847/,https://olj-db.github.io/pdf/doi/10.29173/alr2847/,/alta-l-rev/vol/63/iss/1/art/7/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/7/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Five Years Later Did Vavilov Kill Deference Findings from the Ontario Divisional Court__3213.pdf,https://albertalawreview.com/index.php/ALR/article/download/2847/2792/3213,https://albertalawreview.com/index.php/ALR/article/view/2847,643147,3282e4916e6c444615ddf609c407c0e5a5794587bac523f6b98271d9b29757f3,3282e4916e6c444615ddf609c407c0e5a5794587bac523f6b98271d9b29757f3
8901,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,8,10.29173/alr2848,Vavilov and Generative AI,Robert Diab,Articles,17,/alta-l-rev/vol/63/iss/1/firstpage/1/art/8/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/8/,/alta-l-rev/vol/63/iss/1/art/8/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/8/,/doi/10.29173/alr2848/,https://olj-db.github.io/pdf/doi/10.29173/alr2848/,/alta-l-rev/vol/63/iss/1/art/8/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/8/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Vavilov and Generative AI__3215.pdf,https://albertalawreview.com/index.php/ALR/article/download/2848/2793/3215,https://albertalawreview.com/index.php/ALR/article/view/2848,567427,d35579a835337f1613df8d0518cea85a4d954fb363b490fc0b82dd1782277a24,d35579a835337f1613df8d0518cea85a4d954fb363b490fc0b82dd1782277a24
8902,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,9,10.29173/alr2849,Just Words? Judicial Reasons as Remedy in Administrative Law,Colin Feasby,Articles,15,/alta-l-rev/vol/63/iss/1/firstpage/1/art/9/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/9/,/alta-l-rev/vol/63/iss/1/art/9/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/9/,/doi/10.29173/alr2849/,https://olj-db.github.io/pdf/doi/10.29173/alr2849/,/alta-l-rev/vol/63/iss/1/art/9/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/9/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Just Words Judicial Reasons as Remedy in Administrative Law__3217.pdf,https://albertalawreview.com/index.php/ALR/article/download/2849/2794/3217,https://albertalawreview.com/index.php/ALR/article/view/2849,509190,3fa616fdfb6926e74708847cbd5e9b8e075976f6d4e5a28d136a8d3dc1f885a2,3fa616fdfb6926e74708847cbd5e9b8e075976f6d4e5a28d136a8d3dc1f885a2
8903,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,10,10.29173/alr2851,Remedies for Unreasonable Administrative Action after Vavilov,Kate Glover Berger,Articles,15,/alta-l-rev/vol/63/iss/1/firstpage/1/art/10/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/10/,/alta-l-rev/vol/63/iss/1/art/10/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/10/,/doi/10.29173/alr2851/,https://olj-db.github.io/pdf/doi/10.29173/alr2851/,/alta-l-rev/vol/63/iss/1/art/10/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/10/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Remedies for Unreasonable Administrative Action after Vavilov__3221.pdf,https://albertalawreview.com/index.php/ALR/article/download/2851/2796/3221,https://albertalawreview.com/index.php/ALR/article/view/2851,469494,2c680826641237a2d8e1e63fa99abfa7241a361bb7a3746f4fb87add8eb58556,2c680826641237a2d8e1e63fa99abfa7241a361bb7a3746f4fb87add8eb58556
8904,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,11,10.29173/alr2852,Remedial Discretion in the Vavilov Era and the Theoretical Foundations of Judicial Review,Joanne Murray,Articles,24,/alta-l-rev/vol/63/iss/1/firstpage/1/art/11/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/11/,/alta-l-rev/vol/63/iss/1/art/11/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/11/,/doi/10.29173/alr2852/,https://olj-db.github.io/pdf/doi/10.29173/alr2852/,/alta-l-rev/vol/63/iss/1/art/11/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/11/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Remedial Discretion in the Vavilov Era and the Theoretical Foundations of Judicial Review__3224.pdf,https://albertalawreview.com/index.php/ALR/article/download/2852/2798/3224,https://albertalawreview.com/index.php/ALR/article/view/2852,703902,f2b7006bb05534181b315e5d01604b44a331e47f8b22d14d61db8f544129ea3a,f2b7006bb05534181b315e5d01604b44a331e47f8b22d14d61db8f544129ea3a
8906,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,12,10.29173/alr2854,"Process, Substance, and Judicial Review's (A)symmetry",Megan Pfiffer,Articles,27,/alta-l-rev/vol/63/iss/1/firstpage/1/art/12/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/12/,/alta-l-rev/vol/63/iss/1/art/12/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/12/,/doi/10.29173/alr2854/,https://olj-db.github.io/pdf/doi/10.29173/alr2854/,/alta-l-rev/vol/63/iss/1/art/12/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/12/view.pdf,"data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Process, Substance, and Judicial Review's (A)symmetry__3228.pdf",https://albertalawreview.com/index.php/ALR/article/download/2854/2800/3228,https://albertalawreview.com/index.php/ALR/article/view/2854,666982,6ca71a8ecccfce94c94e340d78c05abd693956ac4785c4768d02293f49907524,6ca71a8ecccfce94c94e340d78c05abd693956ac4785c4768d02293f49907524
8908,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,13,10.29173/alr2850,"Rules, Principles, and the Reformation of Judicial Review",Matthew Lewans,Articles,20,/alta-l-rev/vol/63/iss/1/firstpage/1/art/13/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/13/,/alta-l-rev/vol/63/iss/1/art/13/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/13/,/doi/10.29173/alr2850/,https://olj-db.github.io/pdf/doi/10.29173/alr2850/,/alta-l-rev/vol/63/iss/1/art/13/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/13/view.pdf,"data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Rules, Principles, and the Reformation of Judicial Review__3219.pdf",https://albertalawreview.com/index.php/ALR/article/download/2850/2795/3219,https://albertalawreview.com/index.php/ALR/article/view/2850,507656,5ce38b4a1420c103b5a712587340c2dfe0f6e03b3e5a22b8880795a11126f1e4,5ce38b4a1420c103b5a712587340c2dfe0f6e03b3e5a22b8880795a11126f1e4
8911,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,14,10.29173/alr2855,Deference and the Administrative-Legislative Paradox in Judicial Review,Gerard J Kennedy,Articles,25,/alta-l-rev/vol/63/iss/1/firstpage/1/art/14/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/14/,/alta-l-rev/vol/63/iss/1/art/14/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/14/,/doi/10.29173/alr2855/,https://olj-db.github.io/pdf/doi/10.29173/alr2855/,/alta-l-rev/vol/63/iss/1/art/14/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/14/view.pdf,data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Deference and the Administrative-Legislative Paradox in Judicial Review__3230.pdf,https://albertalawreview.com/index.php/ALR/article/download/2855/2801/3230,https://albertalawreview.com/index.php/ALR/article/view/2855,772223,2257a2059af11ba6280cbd6c192ff302bda85eab935c3bbaf847bb95fc163d29,2257a2059af11ba6280cbd6c192ff302bda85eab935c3bbaf847bb95fc163d29
8913,ALTA-L-REV,Alta L Rev,alta-l-rev,63,1,1,15,10.29173/alr2856,"Afterword: Vavilov: A Success Story, with Lessons Worth Learning",David Stratas,Articles,9,/alta-l-rev/vol/63/iss/1/firstpage/1/art/15/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/firstpage/1/art/15/,/alta-l-rev/vol/63/iss/1/art/15/,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/15/,/doi/10.29173/alr2856/,https://olj-db.github.io/pdf/doi/10.29173/alr2856/,/alta-l-rev/vol/63/iss/1/art/15/view.pdf,https://olj-db.github.io/pdf/alta-l-rev/vol/63/iss/1/art/15/view.pdf,"data\pdfs\ALTA-L-REV\Volume 63\Issue 1\Afterword Vavilov A Success Story, with Lessons Worth Learning__3232.pdf",https://albertalawreview.com/index.php/ALR/article/download/2856/2802/3232,https://albertalawreview.com/index.php/ALR/article/view/2856,371975,deea763dccf8a732d4800c3cc3123e83ab39b099aa84bbfadb51176c6c346737,deea763dccf8a732d4800c3cc3123e83ab39b099aa84bbfadb51176c6c346737
